slug,label,symbol,current_mode,recommended_mode,decision,reason,6m_return_pct,6m_profit_factor,6m_win_rate_pct,6m_max_drawdown_pct,6m_trades,1y_return_pct,1y_profit_factor,1y_win_rate_pct,1y_max_drawdown_pct,1y_trades,3y_return_pct,3y_profit_factor,3y_win_rate_pct,3y_max_drawdown_pct,3y_trades,5y_return_pct,5y_profit_factor,5y_win_rate_pct,5y_max_drawdown_pct,5y_trades
lta-volume-profile,LTA Volume Profile,XAUUSD,safe,safe,keep,Passes the current consistency review.,29.7,1.38,31.78,7.77,107,91.86,1.42,32.63,14.58,236,163.31,1.33,31.35,20.57,437,128.3,1.23,29.23,20.52,609
btc-top-down-fvg-liquidity,BTC Top Down FVG Liquidity,BTCUSD,standard,standard,watch,"5Y PF is only 1.21, although recent performance improved.",8.87,2.68,58.33,2.05,12,12.74,1.92,50.0,3.84,26,15.41,1.29,41.57,8.05,89,14.91,1.21,40.17,10.25,117
btc-poc-fibonacci,BTC POC Fibonacci,BTCUSD,standard,standard,keep,Passes the current consistency review.,2.94,1.27,28.57,9.33,14,8.37,1.4,26.92,9.32,26,28.54,1.52,33.8,9.32,71,44.3,1.47,33.33,14.1,114
eth-top-down-fvg-liquidity,ETH Top Down FVG Liquidity,ETHUSD,standard,standard,keep,Passes the current consistency review.,12.74,2.24,46.67,4.45,15,11.41,1.65,42.31,6.68,26,21.77,1.72,43.18,6.68,44,22.93,1.54,38.98,7.45,59
orb-volume-profile,ORB Volume Profile,XAUUSD,standard,standard,keep,Passes the current consistency review.,12.78,2.07,51.28,4.14,39,13.53,1.91,49.02,5.98,51,49.48,1.69,46.78,5.85,171,59.19,1.43,43.75,6.14,304
orb-volume-profile-volume-confirmed,ORB Volume Profile Volume Confirmed,XAUUSD,standard,standard,keep,Passes the current consistency review.,10.82,3.14,50.0,2.97,16,12.57,2.88,52.17,2.92,23,25.92,2.01,45.59,5.64,68,34.62,1.69,43.33,5.67,120
xau-orb-new-york-m30,XAU ORB New York M30,XAUUSD,standard,standard,keep,Passes the current consistency review.,2.29,3.21,50.0,2.64,8,2.44,3.04,45.45,2.64,11,13.41,2.36,49.02,3.43,51,12.14,1.67,39.29,6.14,84
xau-orb-london-ny-overlap-m30,XAU ORB London NY Overlap M30,XAUUSD,standard,standard,keep,Passes the current consistency review.,4.76,5.39,50.0,1.81,12,5.21,2.16,41.67,3.96,24,28.1,2.51,56.96,3.88,79,24.31,1.62,49.25,6.12,134
us100-orb-new-york-m30,US100 ORB New York M30,USTEC,standard,standard,keep,Passes the current consistency review.,3.32,1.49,46.15,3.31,13,9.66,1.68,48.15,4.76,27,36.94,2.15,50.79,4.77,63,40.09,1.78,48.96,8.02,96
us100-h1-orb-13utc,US100 H1 ORB 13UTC,USTEC,standard,standard,keep,Passes the current consistency review.,3.84,1.32,54.29,3.56,35,23.56,1.73,51.39,6.8,72,106.2,1.94,54.14,6.81,181,92.93,1.57,48.79,17.82,289
