case,group,stage,report,from,to,model,risk_percent,initial_balance,final_balance,net_profit,return_pct,profit_factor,win_rate_pct,max_drawdown_pct,trades,sharpe_ratio,recovery_factor,history_quality,analysed_sharpe,analysed_recovery
deployed-safe-dynamic-native,baseline,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\06 Asia Breakout\Backtest Reports\Development\asia-xau-development-deployed-safe-dynamic-native.htm,2023.09.01,2025.08.31,1,1.00,10000.0,11216.56,1216.56,12.17,1.33,46.15,5.99,65,3.07,1.8,98%,1.09,2.34
standard-dynamic-native,baseline,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\06 Asia Breakout\Backtest Reports\Development\asia-xau-development-standard-dynamic-native.htm,2023.09.01,2025.08.31,1,1.00,10000.0,10328.04,328.04,3.28,1.02,38.87,20.14,283,0.17,0.15,98%,0.16,0.16
standard-native-only,baseline,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\06 Asia Breakout\Backtest Reports\Development\asia-xau-development-standard-native-only.htm,2023.09.01,2025.08.31,1,1.00,10000.0,10952.54,952.54,9.53,1.06,35.07,21.66,268,0.42,0.39,98%,0.4,0.43
standard-no-management,baseline,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\06 Asia Breakout\Backtest Reports\Development\asia-xau-development-standard-no-management.htm,2023.09.01,2025.08.31,1,1.00,10000.0,13023.17,3023.17,30.23,1.17,28.45,22.26,232,1.01,1.17,98%,1.05,1.25
rr-050,reward-risk,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\06 Asia Breakout\Backtest Reports\Development\asia-xau-development-rr-050.htm,2023.09.01,2025.08.31,1,1.00,10000.0,8617.66,-1382.34,-13.82,0.86,68.53,15.67,375,-2.54,-0.88,98%,-1.28,-0.92
rr-075,reward-risk,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\06 Asia Breakout\Backtest Reports\Development\asia-xau-development-rr-075.htm,2023.09.01,2025.08.31,1,1.00,10000.0,9276.31,-723.69,-7.24,0.94,63.32,10.98,368,-1.01,-0.66,98%,-0.55,-0.69
rr-100,reward-risk,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\06 Asia Breakout\Backtest Reports\Development\asia-xau-development-rr-100.htm,2023.09.01,2025.08.31,1,1.00,10000.0,9964.42,-35.58,-0.36,1.0,60.16,12.15,364,-0.04,-0.03,98%,-0.02,-0.03
rr-150,reward-risk,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\06 Asia Breakout\Backtest Reports\Development\asia-xau-development-rr-150.htm,2023.09.01,2025.08.31,1,1.00,10000.0,10671.21,671.21,6.71,1.04,52.92,14.88,342,0.53,0.43,98%,0.39,0.46
rr-200,reward-risk,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\06 Asia Breakout\Backtest Reports\Development\asia-xau-development-rr-200.htm,2023.09.01,2025.08.31,1,1.00,10000.0,10389.18,389.18,3.89,1.02,46.27,15.25,322,0.25,0.24,98%,0.2,0.27
rr-250,reward-risk,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\06 Asia Breakout\Backtest Reports\Development\asia-xau-development-rr-250.htm,2023.09.01,2025.08.31,1,1.00,10000.0,10222.39,222.39,2.22,1.01,42.16,19.56,306,0.12,0.11,98%,0.11,0.12
