case,group,stage,report,from,to,model,reward_risk,stop_buffer_atr,minimum_stop_atr,break_even_at_r,maximum_holding_bars,dynamic,dynamic_trigger,dynamic_lock,session,safe_filter,risk_percent,initial_balance,final_balance,net_profit,return_pct,profit_factor,win_rate_pct,max_drawdown_pct,trades,sharpe_ratio,recovery_factor,history_quality,analysed_sharpe,analysed_recovery
rr-400,reward-risk,Locked,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\03 ETH Top Down FVG\Backtest Reports\Locked\eth-locked-rr-400.htm,2025.09.01,2026.09.01,0,4.00,0.10,0.30,0.00,96,false,0.50,0.20,0,false,1.00,10000.0,11031.18,1031.18,10.31,1.52,34.62,6.38,26,4.81,1.37,100%,0.88,1.39
stop-b025-min050,stop,Locked,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\03 ETH Top Down FVG\Backtest Reports\Locked\eth-locked-stop-b025-min050.htm,2025.09.01,2026.09.01,0,3.00,0.25,0.50,0.00,96,false,0.50,0.20,0,false,1.00,10000.0,10250.35,250.35,2.5,1.13,32.0,6.96,25,1.62,0.35,100%,0.28,0.36
manage-native,management,Locked,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\03 ETH Top Down FVG\Backtest Reports\Locked\eth-locked-manage-native.htm,2025.09.01,2026.09.01,0,3.00,0.10,0.30,0.00,96,false,0.50,0.20,0,false,1.00,10000.0,11030.13,1030.13,10.3,1.57,38.46,6.68,26,6.69,1.5,100%,1.05,2.26
manage-current-dynamic5020,management,Locked,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\03 ETH Top Down FVG\Backtest Reports\Locked\eth-locked-manage-current-dynamic5020.htm,2025.09.01,2026.09.01,0,3.00,0.10,0.30,0.00,96,true,0.50,0.20,0,false,1.00,10000.0,11034.47,1034.47,10.34,1.67,50.0,6.68,26,7.93,1.47,100%,1.16,2.22
session-all,session,Locked,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\03 ETH Top Down FVG\Backtest Reports\Locked\eth-locked-session-all.htm,2025.09.01,2026.09.01,0,3.00,0.10,0.30,0.00,96,true,0.50,0.20,0,false,1.00,10000.0,11034.47,1034.47,10.34,1.67,50.0,6.68,26,7.93,1.47,100%,1.16,2.22
session-asia,session,Locked,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\03 ETH Top Down FVG\Backtest Reports\Locked\eth-locked-session-asia.htm,2025.09.01,2026.09.01,0,3.00,0.10,0.30,0.00,96,true,0.50,0.20,1,false,1.00,10000.0,10631.33,631.33,6.31,1.9,50.0,5.32,12,2.82,1.14,100%,1.02,1.92
session-london,session,Locked,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\03 ETH Top Down FVG\Backtest Reports\Locked\eth-locked-session-london.htm,2025.09.01,2026.09.01,0,3.00,0.10,0.30,0.00,96,true,0.50,0.20,2,false,1.00,10000.0,10524.56,524.56,5.25,4.77,75.0,2.32,4,1.56,2.23,100%,1.57,4.8
session-new-york,session,Locked,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\03 ETH Top Down FVG\Backtest Reports\Locked\eth-locked-session-new-york.htm,2025.09.01,2026.09.01,0,3.00,0.10,0.30,0.00,96,true,0.50,0.20,3,false,1.00,10000.0,10139.33,139.33,1.39,1.21,45.45,3.95,11,0.69,0.34,100%,0.28,0.51
session-overlap,session,Locked,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\03 ETH Top Down FVG\Backtest Reports\Locked\eth-locked-session-overlap.htm,2025.09.01,2026.09.01,0,3.00,0.10,0.30,0.00,96,true,0.50,0.20,4,false,1.00,10000.0,10052.91,52.91,0.53,1.17,40.0,2.15,5,0.14,0.24,100%,0.15,0.25
safe-on,safe-filter,Locked,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\03 ETH Top Down FVG\Backtest Reports\Locked\eth-locked-safe-on.htm,2025.09.01,2026.09.01,0,3.00,0.10,0.30,0.00,96,true,0.50,0.20,0,true,1.00,10000.0,10104.39,104.39,1.04,1.09,44.44,6.41,18,0.93,0.15,100%,0.17,0.19
combo-rr4-stop025-native,combined-finalist,Locked,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\03 ETH Top Down FVG\Backtest Reports\Locked\eth-locked-combo-rr4-stop025-native.htm,2025.09.01,2026.09.01,0,4.00,0.25,0.50,0.00,96,false,0.50,0.20,0,false,1.00,10000.0,10440.21,440.21,4.4,1.22,28.0,10.46,25,2.4,0.36,100%,0.4,0.47
