case_id,stage,asset,symbol,period,direction,geometry,entry_offset,stop_distance,trail_distance,management,buy,sell,dynamic,close_seconds,risk_per_enabled_side_pct,from,to,execution_mode,report,initial_balance,final_balance,net_profit,return_pct,gross_profit,gross_loss,profit_factor,win_rate_pct,wins,losses,trades,max_drawdown_amount,max_drawdown_pct,sharpe_ratio,recovery_factor,history_quality_pct,bars,selection_score
xauusd__buy-only__base__dynamic60,Calibration,xauusd,XAUUSD,M1,buy-only,base,6,6,15,dynamic60,True,False,True,60,1,2025.09.01,2026.05.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Direction Research 2026-09-05\Backtest Reports\Calibration\xauusd__buy-only__base__dynamic60.htm,10000.0,11933.67,1933.67,19.3367,2082.96,-149.29,13.95,76.92,10,3,13,182.67,1.77,56.55,10.59,99.0,262913,28.37369803774771
xauusd__buy-only__wide__dynamic60,Calibration,xauusd,XAUUSD,M1,buy-only,wide,8,8,20,dynamic60,True,False,True,60,1,2025.09.01,2026.05.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Direction Research 2026-09-05\Backtest Reports\Calibration\xauusd__buy-only__wide__dynamic60.htm,10000.0,11127.45,1127.45,11.2745,1263.0,-135.55,9.32,83.33,10,2,12,135.35,1.33,33.49,8.33,99.0,262913,20.43699730810374
xauusd__sell-only__base__dynamic60,Calibration,xauusd,XAUUSD,M1,sell-only,base,6,6,15,dynamic60,False,True,True,60,1,2025.09.01,2026.05.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Direction Research 2026-09-05\Backtest Reports\Calibration\xauusd__sell-only__base__dynamic60.htm,10000.0,10454.21,454.21,4.5421,895.77,-441.56,2.03,30.0,3,7,10,321.32,3.17,3.25,1.41,99.0,262913,3.9215446796632403
xauusd__sell-only__wide__dynamic60,Calibration,xauusd,XAUUSD,M1,sell-only,wide,8,8,20,dynamic60,False,True,True,60,1,2025.09.01,2026.05.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Direction Research 2026-09-05\Backtest Reports\Calibration\xauusd__sell-only__wide__dynamic60.htm,10000.0,10322.42,322.42,3.2242,623.57,-301.15,2.07,20.0,1,4,5,272.45,2.72,0.39,1.18,99.0,262913,0.6639280900008391
xauusd__two-sided__base__dynamic60,Calibration,xauusd,XAUUSD,M1,two-sided,base,6,6,15,dynamic60,True,True,True,60,1,2025.09.01,2026.05.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Direction Research 2026-09-05\Backtest Reports\Calibration\xauusd__two-sided__base__dynamic60.htm,10000.0,12451.34,2451.34,24.5134,3092.85,-641.51,4.82,56.52,13,10,23,259.61,2.04,204.83,9.44,99.0,262913,34.71111171885851
xauusd__two-sided__wide__dynamic60,Calibration,xauusd,XAUUSD,M1,two-sided,wide,8,8,20,dynamic60,True,True,True,60,1,2025.09.01,2026.05.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Direction Research 2026-09-05\Backtest Reports\Calibration\xauusd__two-sided__wide__dynamic60.htm,10000.0,11439.79,1439.79,14.3979,1888.96,-449.17,4.21,64.71,11,6,17,220.52,2.17,90.01,6.53,99.0,262913,23.811187499273338
xagusd__buy-only__tight__dynamic60,Calibration,xagusd,XAGUSD,M1,buy-only,tight,0.08,0.08,0.2,dynamic60,True,False,True,60,1,2025.09.01,2026.05.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Direction Research 2026-09-05\Backtest Reports\Calibration\xagusd__buy-only__tight__dynamic60.htm,10000.0,18656.9,8656.9,86.569,9597.3,-940.4,10.21,72.22,13,5,18,687.38,3.55,191.41,12.59,99.0,262083,95.01495479208968
xagusd__buy-only__wide__dynamic60,Calibration,xagusd,XAGUSD,M1,buy-only,wide,0.12,0.12,0.3,dynamic60,True,False,True,60,1,2025.09.01,2026.05.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Direction Research 2026-09-05\Backtest Reports\Calibration\xagusd__buy-only__wide__dynamic60.htm,10000.0,14422.43,4422.43,44.22430000000001,5118.8,-696.37,7.35,76.47,13,4,17,478.8,3.21,142.9,9.24,99.0,262083,52.80558749927335
xagusd__sell-only__tight__dynamic60,Calibration,xagusd,XAGUSD,M1,sell-only,tight,0.08,0.08,0.2,dynamic60,False,True,True,60,1,2025.09.01,2026.05.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Direction Research 2026-09-05\Backtest Reports\Calibration\xagusd__sell-only__tight__dynamic60.htm,10000.0,12267.67,2267.67,22.6767,2757.9,-490.23,5.63,22.22,2,7,9,435.0,3.49,3.87,5.21,99.0,262083,29.218033333333327
xagusd__sell-only__wide__dynamic60,Calibration,xagusd,XAGUSD,M1,sell-only,wide,0.12,0.12,0.3,dynamic60,False,True,True,60,1,2025.09.01,2026.05.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Direction Research 2026-09-05\Backtest Reports\Calibration\xagusd__sell-only__wide__dynamic60.htm,10000.0,10965.87,965.87,9.658700000000001,1657.5,-691.63,2.4,22.22,2,7,9,439.6,4.39,2.57,2.2,99.0,262083,10.68003333333333
