case,phase,purpose,from,to,initial_balance,final_balance,net_profit,return_pct,profit_factor,win_rate_pct,trades,max_dd_pct,max_dd_amount,sharpe,recovery_factor,expected_payoff,history_quality_pct,gross_profit,gross_loss,report,trade_retention_pct,robust_score,passes_research_gate,mc_paths,mc_p5_final_return_pct,mc_median_final_return_pct,mc_p95_max_dd_pct
book-full-stack,screen,All implementable book-fidelity changes together,2021.09.01,2024.08.31,10000.0,11017.16,1017.16,10.1716,1.02,35.71,826,38.25,4338.31,0.36,0.23,1.23,98.0,52489.16,-51472.0,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\LTA Book Fidelity Research 2026-09-07\Backtest Reports\screen\xauusd--book-full-stack--screen.htm,120.40816326530613,-56.47313206368892,False,4000,-43.55675311783736,11.91892069827487,56.20430277753255
baseline-safe,screen,"Frozen current LTA control, current recommended Safe gate on",2021.09.01,2024.08.31,10000.0,9024.06,-975.94,-9.7594,0.94,24.9,261,28.25,2911.63,-0.7,-0.34,-3.74,98.0,16596.55,-17572.49,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\LTA Book Fidelity Research 2026-09-07\Backtest Reports\screen\xauusd--baseline-safe--screen.htm,38.0466472303207,-59.36210339518193,False,4000,-41.320882640565735,-9.997969692623576,48.16802580594605
execution-guard,screen,Measured spread ceiling and 21:00-23:00 UTC rollover block,2021.09.01,2024.08.31,10000.0,10154.56,154.56,1.5456,1.0,25.95,632,35.21,3943.42,0.04,0.04,0.24,98.0,44123.04,-43968.48,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\LTA Book Fidelity Research 2026-09-07\Backtest Reports\screen\xauusd--execution-guard--screen.htm,92.12827988338192,-63.659098944671285,False,4000,-50.311770216448735,0.8578419214713029,60.0007557772086
auction-confirm,screen,Auction acceptance/rejection as confirmation gate,2021.09.01,2024.08.31,10000.0,8974.22,-1025.78,-10.2578,0.96,25.12,410,31.47,3203.97,-0.44,-0.32,-2.5,98.0,25271.8,-26297.58,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\LTA Book Fidelity Research 2026-09-07\Backtest Reports\screen\xauusd--auction-confirm--screen.htm,59.7667638483965,-68.41032544597071,False,4000,-50.016463687619385,-11.313241766552961,57.03243985373113
fixed-range,screen,Completed consolidation fixed-range profile,2021.09.01,2024.08.31,10000.0,8139.59,-1860.41,-18.604100000000003,0.96,25.26,768,39.23,3993.46,-0.49,-0.47,-2.42,98.0,43849.82,-45710.23,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\LTA Book Fidelity Research 2026-09-07\Backtest Reports\screen\xauusd--fixed-range--screen.htm,111.9533527696793,-93.63524501203254,False,4000,-61.659374507969964,-19.79358347540368,68.94221363020883
m1-vap,screen,M1 typical-price volume-at-price reconstruction,2021.09.01,2024.08.31,10000.0,8104.76,-1895.24,-18.9524,0.96,25.14,696,44.84,5161.89,-0.54,-0.37,-2.72,98.0,46033.38,-47928.62,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\LTA Book Fidelity Research 2026-09-07\Backtest Reports\screen\xauusd--m1-vap--screen.htm,101.45772594752187,-101.37710176271774,False,4000,-61.14525093849908,-17.75182044060426,67.88778727775643
structural-swing,screen,Confirmed structural swing anchor instead of rolling bars,2021.09.01,2024.08.31,10000.0,8110.8,-1889.2,-18.892,0.97,25.44,908,45.12,5175.33,-0.44,-0.37,-2.08,98.0,56034.73,-57923.93,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\LTA Book Fidelity Research 2026-09-07\Backtest Reports\screen\xauusd--structural-swing--screen.htm,132.3615160349854,-103.01552060148987,False,4000,-65.27431460478103,-19.313628598625947,72.74609746715869
baseline-standard,screen,"Frozen current LTA control, Safe gate off",2021.09.01,2024.08.31,10000.0,6718.57,-3281.43,-32.814299999999996,0.92,24.49,686,44.17,4496.04,-1.02,-0.73,-4.78,98.0,36383.08,-39664.51,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\LTA Book Fidelity Research 2026-09-07\Backtest Reports\screen\xauusd--baseline-standard--screen.htm,100.0,-116.80206804019937,False,4000,-66.7362535226593,-33.28423330629146,71.46948117035646
structural-targets,screen,Next profile/zone target with minimum 1.5R,2021.09.01,2024.08.31,10000.0,6435.93,-3564.07,-35.6407,0.91,29.58,808,52.43,5337.26,-1.25,-0.67,-4.41,98.0,36569.62,-40133.69,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\LTA Book Fidelity Research 2026-09-07\Backtest Reports\screen\xauusd--structural-targets--screen.htm,117.78425655976676,-131.38158222518405,False,4000,-68.08186877579757,-36.007462376595925,72.67746748762809
quality-zones,screen,"Freshness, strength and prior-touch supply/demand scoring",2021.09.01,2024.08.31,10000.0,5901.09,-4098.91,-40.9891,0.89,23.95,693,49.14,5002.31,-1.36,-0.82,-5.91,98.0,34526.43,-38625.34,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\LTA Book Fidelity Research 2026-09-07\Backtest Reports\screen\xauusd--quality-zones--screen.htm,101.0204081632653,-133.6110178669494,False,4000,-71.09860591965133,-40.06061664250147,74.76608187515244
