slug,label,symbol,timeframe,mode,status,cached_trades,cache_from,cache_to,path
lta-volume-profile,LTA Volume Profile,XAUUSD,M15,safe,loaded,437,2023-09-05,2026-09-05,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\EA store\data\evidence-cache\v1\products\lta-volume-profile\safe\3y.trades.json
btc-top-down-fvg-liquidity,BTC Top Down FVG Liquidity,BTCUSD,M15,standard,loaded,89,2023-09-05,2026-09-05,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\EA store\data\evidence-cache\v1\products\btc-top-down-fvg-liquidity\standard\3y.trades.json
btc-poc-fibonacci,BTC POC Fibonacci,BTCUSD,M15,standard,loaded,71,2023-09-05,2026-09-05,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\EA store\data\evidence-cache\v1\products\btc-poc-fibonacci\standard\3y.trades.json
eth-top-down-fvg-liquidity,ETH Top Down FVG Liquidity,ETHUSD,M15,standard,loaded,44,2023-09-05,2026-09-05,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\EA store\data\evidence-cache\v1\products\eth-top-down-fvg-liquidity\standard\3y.trades.json
engineered-liquidity-xau,Engineered Liquidity XAU,XAUUSD,H1,standard,loaded,229,2023-09-05,2026-09-05,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\EA store\data\evidence-cache\v1\products\engineered-liquidity-xau\standard\3y.trades.json
orb-volume-profile,ORB Volume Profile,XAUUSD,M5,standard,loaded,171,2023-09-05,2026-09-05,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\EA store\data\evidence-cache\v1\products\orb-volume-profile\standard\3y.trades.json
orb-volume-profile-high-win-0-75r,ORB Volume Profile High Win 0.75R,XAUUSD,M5,standard,loaded,171,2023-09-05,2026-09-05,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\EA store\data\evidence-cache\v1\products\orb-volume-profile-high-win-0-75r\standard\3y.trades.json
orb-volume-profile-volume-confirmed,ORB Volume Profile Volume Confirmed,XAUUSD,M5,standard,loaded,68,2023-09-05,2026-09-05,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\EA store\data\evidence-cache\v1\products\orb-volume-profile-volume-confirmed\standard\3y.trades.json
xau-orb-new-york-m30,XAU ORB New York M30,XAUUSD,M30,standard,loaded,51,2023-09-05,2026-09-05,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\EA store\data\evidence-cache\v1\products\xau-orb-new-york-m30\standard\3y.trades.json
xau-orb-london-ny-overlap-m30,XAU ORB London NY Overlap M30,XAUUSD,M30,standard,loaded,79,2023-09-05,2026-09-05,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\EA store\data\evidence-cache\v1\products\xau-orb-london-ny-overlap-m30\standard\3y.trades.json
